location,total_sqft,bath,bhk
Kasavanhalli,1719.0,3.0,3
other,2000.0,4.0,3
Jakkur,1230.0,2.0,2
other,1350.0,4.0,4
KR Puram,1076.0,2.0,2
Kumaraswami Layout,2400.0,7.0,7
Kodigehaali,2120.0,3.0,3
other,2400.0,7.0,6
Horamavu Agara,1107.83,2.0,2
Chamrajpet,505.0,1.0,1
Sarjapur  Road,1320.0,2.0,2
8th Phase JP Nagar,1431.5,3.0,3
Whitefield,1320.0,2.0,2
Whitefield,2901.0,4.0,3
GM Palaya,1315.0,2.0,3
Bannerghatta Road,1750.0,3.0,3
Whitefield,2403.0,4.0,4
Talaghattapura,921.0,2.0,2
Malleshwaram,4000.0,4.0,4
Sultan Palaya,1713.0,3.0,3
8th Phase JP Nagar,1900.0,4.0,3
Binny Pete,1795.0,3.0,3
Kereguddadahalli,600.0,1.0,1
Hoodi,1240.0,2.0,2
Hegde Nagar,1965.0,4.0,3
Vishveshwarya Layout,600.0,4.0,3
Sarjapur,4111.0,4.0,4
Ganga Nagar,1112.0,2.0,2
Mahadevpura,1136.0,2.0,2
Jigani,914.0,2.0,2
Yelahanka,845.0,2.0,2
Whitefield,1485.0,2.0,2
Singasandra,1375.0,2.0,2
Uttarahalli,1125.0,2.0,2
Banashankari,720.0,1.0,1
7th Phase JP Nagar,1460.0,2.0,3
Yelachenahalli,800.0,1.0,2
Sector 2 HSR Layout,600.0,9.0,9
Bhoganhalli,1760.0,3.0,3
HAL 2nd Stage,600.0,3.0,2
Giri Nagar,600.0,6.0,6
Frazer Town,1706.0,3.0,3
BTM Layout,1600.0,3.0,3
Whitefield,1755.0,3.0,3
Hulimavu,1200.0,2.0,2
BEML Layout,1200.0,2.0,2
Sector 7 HSR Layout,1200.0,4.0,3
2nd Phase Judicial Layout,1300.0,3.0,3
other,800.0,3.0,3
Whitefield,4800.0,5.0,4
Mysore Road,1029.5,2.0,2
Raja Rajeshwari Nagar,1128.0,2.0,2
Panathur,1210.0,2.0,2
Raja Rajeshwari Nagar,1151.0,2.0,2
HRBR Layout,1200.0,3.0,4
other,1000.0,5.0,5
Munnekollal,1750.0,3.0,3
Dasanapura,1163.0,2.0,2
7th Phase JP Nagar,1650.0,3.0,3
CV Raman Nagar,1100.0,2.0,2
R.T. Nagar,1200.0,2.0,2
Ganga Nagar,1410.0,3.0,3
Begur Road,1933.0,3.0,3
Begur Road,1200.0,2.0,2
other,2679.0,5.0,4
Horamavu Banaswadi,1156.0,2.0,2
Kasavanhalli,770.0,1.0,1
Ardendale,1777.26,3.0,3
Kanakpura Road,1339.0,2.0,2
Sarjapur  Road,3044.0,3.0,3
Nagadevanahalli,2400.0,2.0,2
Kothanur,1075.0,2.0,2
Sarjapur  Road,1163.0,2.0,3
TC Palaya,1200.0,2.0,2
Marathahalli,3090.0,4.0,4
Hebbal,1299.0,2.0,2
HRBR Layout,1170.0,2.0,2
Yelahanka,2600.0,4.0,4
KR Puram,1140.0,2.0,2
Kanakpura Road,1900.0,3.0,3
Bommasandra Industrial Area,1090.0,2.0,2
Nagavarapalya,705.0,1.0,1
HBR Layout,1089.0,2.0,2
Kereguddadahalli,1080.0,2.0,2
Thanisandra,1093.0,2.0,2
Banashankari Stage III,1480.0,3.0,3
Hegde Nagar,1703.0,3.0,3
Hebbal,1200.0,2.0,2
Marathahalli,1690.0,3.0,3
Yelahanka,1305.0,2.0,2
Anekal,1500.0,4.0,3
Horamavu Agara,980.0,2.0,2
Hosakerehalli,1200.0,2.0,3
Whitefield,2225.0,3.0,3
other,882.0,3.0,4
Narayanapura,1153.0,2.0,2
Pai Layout,1175.0,2.0,2
Yelahanka New Town,650.0,1.0,1
other,600.0,3.0,3
Billekahalli,1350.0,3.0,2
Chandapura,800.0,2.0,2
Electronic City,2093.0,4.0,4
Uttarahalli,1320.0,2.0,3
Bannerghatta Road,1275.0,2.0,2
Begur Road,1215.0,2.0,2
Kanakapura,1130.0,2.0,2
Begur Road,1444.0,2.0,3
Padmanabhanagar,1000.0,1.0,2
Banashankari Stage II,1240.0,2.0,3
2nd Stage Nagarbhavi,600.0,4.0,4
Hennur,1231.0,2.0,2
Benson Town,1300.0,2.0,2
Kogilu,1200.0,2.0,2
Sarjapur  Road,3004.0,4.0,3
Jalahalli,790.0,2.0,2
Koramangala,1744.0,3.0,3
other,1605.0,3.0,3
Whitefield,1250.0,2.0,2
Malleshwaram,2476.0,3.0,3
Subramanyapura,1260.0,2.0,3
Electronic City,1025.0,2.0,2
Sarjapur  Road,1877.0,4.0,3
Lakshminarayana Pura,1649.0,3.0,3
Hennur,2500.0,5.0,5
other,1542.0,3.0,3
Thigalarapalya,1418.0,2.0,2
Chandapura,1200.0,2.0,2
Green Glen Layout,1680.0,4.0,3
Old Madras Road,1171.0,2.0,2
Tumkur Road,1027.0,2.0,2
Shampura,1700.0,3.0,3
Kanakapura,1090.0,2.0,2
Hennur Road,1232.0,2.0,2
Anekal,766.0,2.0,2
Banashankari Stage III,1200.0,5.0,5
Kanakpura Road,525.0,1.0,1
Choodasandra,1254.0,2.0,3
Kanakpura Road,1593.0,3.0,3
other,1100.0,3.0,3
Ardendale,1650.0,3.0,3
Electronic City,940.0,2.0,2
Electronic City,435.0,1.0,1
Begur Road,1160.0,2.0,2
Electronic City,1500.0,2.0,3
Singasandra,1200.0,6.0,6
Haralur Road,1027.0,2.0,2
Seegehalli,3000.0,4.0,3
Tumkur Road,1459.0,2.0,3
Yelahanka,1711.0,3.0,3
Hoodi,1250.0,2.0,2
Chandapura,645.0,1.0,1
Anandapura,875.0,2.0,2
Ramamurthy Nagar,1334.0,2.0,2
Thigalarapalya,2072.0,4.0,3
Kundalahalli,1600.0,3.0,3
Kengeri Satellite Town,920.0,2.0,2
Chandapura,778.0,2.0,2
Nagasandra,1310.0,3.0,4
Electronic City,1631.0,3.0,3
Kanakpura Road,525.0,1.0,1
Hennur Road,1232.0,2.0,2
Gubbalala,1205.0,2.0,2
other,1200.0,4.0,4
Rajiv Nagar,2340.0,5.0,4
Rayasandra,1179.0,2.0,3
Kodigehaali,1013.0,2.0,2
Uttarahalli,1160.0,2.0,2
7th Phase JP Nagar,1200.0,2.0,2
other,1100.0,2.0,3
other,1200.0,3.0,3
Marathahalli,1065.0,2.0,2
Lakshminarayana Pura,1395.0,2.0,2
Hebbal Kempapura,1725.0,2.0,3
Hebbal,1645.0,3.0,3
Kengeri,1200.0,2.0,2
Mysore Road,940.0,2.0,2
KR Puram,4300.0,6.0,6
Indira Nagar,1740.0,3.0,3
Haralur Road,1194.0,2.0,2
Sadashiva Nagar,3761.0,3.0,3
Dodda Nekkundi,1829.0,3.0,3
Whitefield,1800.0,4.0,4
other,800.0,4.0,5
Hebbal,1390.0,2.0,2
Lakshminarayana Pura,1500.0,3.0,3
Jakkur,1202.0,2.0,2
Raja Rajeshwari Nagar,1350.0,4.0,4
Whitefield,605.0,1.0,1
Harlur,1331.0,2.0,2
Margondanahalli,1200.0,2.0,2
other,1150.0,2.0,2
Sahakara Nagar,1200.0,2.0,2
other,1800.0,2.0,2
Kammanahalli,600.0,2.0,3
Kalkere,925.0,2.0,2
TC Palaya,1500.0,2.0,2
Attibele,450.0,1.0,1
other,1200.0,4.0,4
Hennur Road,1341.0,2.0,2
2nd Phase Judicial Layout,1350.0,2.0,3
Tumkur Road,992.0,2.0,2
Uttarahalli,1163.0,2.0,2
Sarjapur  Road,1229.0,2.0,2
Electronic City Phase II,1219.0,2.0,2
Raja Rajeshwari Nagar,1525.0,2.0,3
Kasavanhalli,1147.0,2.0,2
Akshaya Nagar,1412.0,2.0,3
Munnekollal,1200.0,9.0,9
Nagarbhavi,1190.0,2.0,2
Nagadevanahalli,1240.0,2.0,3
other,1700.0,3.0,3
Electronic City,1355.0,2.0,2
Ramamurthy Nagar,1200.0,2.0,2
Kengeri,400.0,2.0,1
Sarjapur  Road,1342.0,2.0,2
Yeshwanthpur,400.0,1.0,1
Hennur Road,2700.0,3.0,3
other,1780.0,3.0,3
other,646.0,2.0,3
Kammanahalli,1200.0,2.0,2
Margondanahalli,900.0,2.0,2
Sarjapur,1830.0,3.0,3
Vishwapriya Layout,690.0,4.0,5
other,650.0,1.0,1
Chandapura,715.0,2.0,3
Uttarahalli,1065.0,2.0,2
other,1080.0,3.0,3
other,900.0,2.0,3
Sarjapur  Road,1711.0,3.0,3
other,1200.0,3.0,4
Chandapura,950.0,2.0,2
Uttarahalli,1075.0,2.0,2
Harlur,1752.12,3.0,3
Hebbal,6000.0,8.0,8
6th Phase JP Nagar,600.0,4.0,4
LB Shastri Nagar,665.0,1.0,1
Sector 2 HSR Layout,1665.0,3.0,3
other,1200.0,3.0,3
Marathahalli,1693.0,3.0,3
other,2456.0,3.0,3
Rajaji Nagar,2559.0,3.0,3
Uttarahalli,1155.0,2.0,2
other,1530.0,2.0,2
Amruthahalli,600.0,4.0,4
Brookefield,2700.0,8.0,8
other,840.0,1.0,1
KR Puram,1200.0,2.0,2
Kasavanhalli,1375.0,2.0,2
BTM 2nd Stage,2990.0,5.0,5
Yelahanka,1315.0,2.0,2
Dommasandra,1500.0,2.0,2
Vijayanagar,1178.0,2.0,2
Thanisandra,1093.0,2.0,2
Horamavu Banaswadi,1200.0,2.0,2
Magadi Road,5000.0,6.0,5
1st Block Jayanagar,1200.0,2.0,3
Whitefield,2210.0,3.0,3
Uttarahalli,1150.0,2.0,2
other,600.0,3.0,4
Whitefield,1173.0,2.0,2
other,1717.0,3.0,3
Mallasandra,1325.0,2.0,2
Electronics City Phase 1,1025.0,2.0,2
Bellandur,1200.0,2.0,2
Whitefield,1740.0,4.0,3
Hennur Road,1232.0,2.0,2
Chandapura,1200.0,2.0,2
other,1475.0,2.0,2
5th Phase JP Nagar,552.0,1.0,1
Hennur,1000.0,3.0,3
other,650.0,1.0,1
Padmanabhanagar,1067.0,2.0,2
Sarjapur,1364.0,2.0,3
Bannerghatta Road,1240.0,2.0,2
Hulimavu,1200.0,2.0,2
Kaggadasapura,1540.0,3.0,3
other,1504.0,2.0,3
Hennur Road,2365.0,4.0,3
Sarjapura - Attibele Road,1308.0,2.0,2
Vijayanagar,864.0,2.0,2
Vidyaranyapura,1200.0,5.0,5
Hoskote,1069.0,2.0,3
Hebbal,1333.0,2.0,2
other,1800.0,4.0,4
Thanisandra,1698.0,3.0,3
Raja Rajeshwari Nagar,1060.0,2.0,2
Hennur,1160.0,2.0,2
Hosa Road,675.0,3.0,3
Hennur Road,1310.0,2.0,2
Vijayanagar,1806.0,6.0,6
other,3000.0,4.0,4
Varthur,2145.0,3.0,3
Marathahalli,1693.0,3.0,3
Devanahalli,1200.0,3.0,3
Munnekollal,1385.0,2.0,3
Tumkur Road,1066.0,2.0,2
Tindlu,720.0,3.0,3
other,1625.0,3.0,3
Vittasandra,1246.0,2.0,2
other,2400.0,4.0,4
Raja Rajeshwari Nagar,3900.0,6.0,6
7th Phase JP Nagar,1000.0,2.0,2
Nagavarapalya,907.0,2.0,2
Varthur,1395.0,2.0,3
Banaswadi,1903.0,6.0,5
other,1490.0,2.0,3
Hormavu,1143.0,2.0,2
Karuna Nagar,2500.0,3.0,3
Whitefield,1216.0,2.0,2
Prithvi Layout,1352.0,3.0,2
Bellandur,1785.0,3.0,3
Pai Layout,810.0,2.0,2
Banashankari Stage V,1650.0,3.0,3
Babusapalaya,1410.0,2.0,3
Kanakpura Road,1591.0,3.0,3
Yelahanka New Town,450.0,1.0,1
Kaggadasapura,1240.0,2.0,2
Dodda Nekkundi,1100.0,2.0,2
Koramangala,1180.0,2.0,2
Bisuvanahalli,845.0,2.0,2
other,1567.2,2.0,3
8th Phase JP Nagar,1200.0,4.0,4
Kambipura,883.0,2.0,2
Yelahanka,1390.0,2.0,2
Kenchenahalli,1280.0,2.0,3
Yelahanka,1614.0,3.0,3
Kasturi Nagar,1000.0,2.0,2
Marathahalli,1196.0,2.0,2
Ambalipura,950.0,2.0,2
other,2400.0,8.0,9
5th Phase JP Nagar,1200.0,2.0,2
Doddathoguru,855.0,2.0,2
Chandapura,645.0,1.0,1
Chandapura,922.0,2.0,2
Nagappa Reddy Layout,1200.0,2.0,2
Nagadevanahalli,1240.0,2.0,3
7th Phase JP Nagar,1070.0,2.0,2
Nehru Nagar,967.0,2.0,2
1st Block Koramangala,860.0,2.0,2
Yelahanka,1075.0,1.0,1
Sarjapur  Road,1050.0,2.0,2
Sarjapur  Road,1350.0,2.0,2
Hebbal,1204.0,2.0,2
Sarjapur  Road,2990.0,4.0,4
ITPL,1000.0,2.0,2
Sarjapur  Road,1457.0,3.0,3
Haralur Road,1194.0,2.0,2
Bannerghatta,1100.0,2.0,2
Whitefield,1655.0,3.0,3
Kanakpura Road,1691.2,3.0,3
Ramagondanahalli,1215.0,2.0,2
Hoodi,1639.0,3.0,3
Sarjapur  Road,1685.0,3.0,3
other,1008.0,4.0,5
Hormavu,1100.0,2.0,2
Marathahalli,2122.0,3.0,3
Vasanthapura,1050.0,2.0,2
Electronic City Phase II,1252.0,2.0,3
other,1374.0,2.0,3
8th Phase JP Nagar,500.0,1.0,1
Arekere,1200.0,8.0,8
Hebbal,1355.0,3.0,3
Banashankari,1040.0,2.0,2
Sarjapur  Road,1350.0,2.0,2
Hennur,2400.0,3.0,3
Haralur Road,1560.0,3.0,3
Anandapura,1151.0,2.0,2
Hennur Road,1015.0,2.0,2
Kadugodi,1351.0,2.0,3
Yelahanka New Town,960.0,2.0,2
Arekere,2400.0,3.0,3
Horamavu Banaswadi,1254.0,2.0,2
Haralur Road,1255.0,3.0,3
CV Raman Nagar,1051.0,2.0,2
other,1200.0,3.0,3
Uttarahalli,1099.0,2.0,2
Hebbal,2650.0,4.0,3
other,2000.0,2.0,4
Yeshwanthpur,1541.0,2.0,2
Sarjapur  Road,1200.0,3.0,3
other,834.0,1.0,1
Gollarapalya Hosahalli,1320.0,3.0,3
Malleshpalya,1200.0,3.0,3
Whitefield,4400.0,5.0,4
other,600.0,1.0,1
Whitefield,1180.0,2.0,2
Kadugodi,1010.0,2.0,2
Channasandra,1070.0,2.0,2
Choodasandra,1580.0,3.0,3
other,1200.0,5.0,4
Green Glen Layout,2000.0,3.0,3
Iblur Village,1920.0,3.0,3
Kalena Agrahara,1040.0,2.0,2
Hulimavu,1430.0,2.0,3
Uttarahalli,1215.0,2.0,3
Domlur,650.0,1.0,1
Thanisandra,1564.0,3.0,3
other,800.0,2.0,3
Hormavu,750.0,2.0,2
Kasavanhalli,1200.0,2.0,2
Raja Rajeshwari Nagar,1128.0,2.0,2
Begur Road,1200.0,2.0,2
other,2750.0,3.0,3
other,2400.0,4.0,4
Yelahanka,1650.0,3.0,3
1st Block Jayanagar,1235.0,2.0,2
Kengeri Satellite Town,985.0,2.0,2
Gottigere,2500.0,3.0,4
GM Palaya,1030.0,2.0,2
Sarjapur  Road,3800.0,3.0,4
Kasavanhalli,4260.0,4.0,4
Brookefield,1950.0,6.0,5
Kanakapura,1283.0,2.0,2
Electronic City Phase II,875.0,2.0,3
HAL 2nd Stage,2700.0,3.0,3
Konanakunte,2400.0,2.0,3
Kathriguppe,1250.0,2.0,3
Panathur,1199.0,2.0,2
1st Block Jayanagar,2750.0,4.0,4
Yelachenahalli,1100.0,2.0,2
other,2075.0,3.0,3
Harlur,1133.0,2.0,2
Somasundara Palya,2400.0,3.0,4
Horamavu Agara,1250.0,3.0,3
Munnekollal,1080.0,2.0,2
Battarahalli,600.0,1.0,1
other,1240.0,4.0,3
Vittasandra,1246.0,2.0,2
HSR Layout,1140.0,2.0,2
other,1050.0,4.0,4
Vidyaranyapura,1120.0,2.0,2
Electronic City,435.0,1.0,1
Magadi Road,1116.0,2.0,2
Old Madras Road,1480.0,3.0,3
Hormavu,1000.0,2.0,2
HSR Layout,1145.0,2.0,2
Bommasandra,800.0,1.0,2
Thanisandra,1265.0,2.0,2
Devanahalli,1700.0,3.0,3
BTM 2nd Stage,1265.0,2.0,2
Anandapura,1200.0,2.0,2
1st Phase JP Nagar,2180.0,3.0,3
Brookefield,1080.0,2.0,2
Whitefield,2023.0,4.0,3
Kalena Agrahara,1804.0,3.0,3
other,1200.0,2.0,2
Hoodi,1108.0,2.0,2
Marathahalli,1730.0,3.0,3
Sarjapura - Attibele Road,1073.0,2.0,2
Ananth Nagar,960.0,2.0,2
Electronic City Phase II,1125.0,2.0,2
Brookefield,1230.0,2.0,2
Mahadevpura,1438.0,2.0,2
7th Phase JP Nagar,1080.0,2.0,2
Hebbal Kempapura,1200.0,3.0,3
Marathahalli,1200.0,1.0,2
Kaggadasapura,1560.0,2.0,3
Mallasandra,1810.0,3.0,4
other,2274.24,4.0,3
Sonnenahalli,1484.0,3.0,3
Indira Nagar,1650.0,3.0,3
Thanisandra,2280.0,4.0,3
other,4900.0,5.0,5
Frazer Town,2079.0,3.0,3
Bharathi Nagar,1351.0,2.0,2
Whitefield,3589.0,5.0,4
Channasandra,1800.0,4.0,4
Giri Nagar,1120.0,4.0,4
Sarjapur  Road,984.0,2.0,2
other,900.0,3.0,2
Bhoganhalli,1447.0,2.0,2
Margondanahalli,1140.0,2.0,2
Bommanahalli,1170.0,2.0,2
Poorna Pragna Layout,1160.0,2.0,2
Kanakpura Road,1296.0,2.0,2
Nagappa Reddy Layout,1495.0,2.0,3
Rajaji Nagar,900.0,4.0,5
Bellandur,1088.0,2.0,2
Hosa Road,1533.0,3.0,3
Rachenahalli,1100.0,2.0,2
Hebbal,1244.0,3.0,2
Hosa Road,1040.0,2.0,2
Begur Road,1260.0,2.0,2
Uttarahalli,1180.0,2.0,2
Thigalarapalya,1245.0,2.0,2
other,470.0,2.0,1
Vijayanagar,920.0,2.0,2
Sarjapur,1124.0,2.0,2
Begur Road,1100.0,2.0,2
Vijayanagar,1019.0,2.0,2
Harlur,1756.0,3.0,3
Bommasandra,1280.0,3.0,3
Kenchenahalli,1200.0,3.0,4
Whitefield,2134.0,4.0,3
Hosa Road,1369.1,2.0,2
Subramanyapura,600.0,3.0,3
other,1313.0,4.0,3
other,2515.0,4.0,3
Basapura,1440.0,3.0,3
Hebbal,1800.0,3.0,3
Kudlu,1600.0,3.0,3
GM Palaya,1000.0,2.0,2
Cunningham Road,2275.0,3.0,3
Banashankari Stage III,1305.0,2.0,3
Binny Pete,1740.0,3.0,3
Malleshwaram,900.0,2.0,2
Benson Town,1567.0,3.0,2
Nagarbhavi,1050.0,2.0,2
Begur,3500.0,4.0,3
Dasarahalli,1220.0,2.0,2
Binny Pete,1970.0,3.0,3
other,2665.0,3.0,3
Kanakapura,2130.0,4.0,4
Harlur,1749.0,3.0,3
Subramanyapura,1260.0,2.0,2
6th Phase JP Nagar,1170.0,2.0,2
Hennur Road,2264.0,3.0,3
other,3500.0,5.0,4
Begur,1100.0,2.0,2
Chandapura,674.0,1.0,2
Koramangala,1320.0,2.0,2
Vishveshwarya Layout,600.0,4.0,4
Electronics City Phase 1,1125.0,2.0,2
Nagavara,1125.0,2.0,2
BTM Layout,1300.0,2.0,3
Magadi Road,1052.0,2.0,3
other,1140.0,3.0,4
Devarachikkanahalli,1130.0,2.0,2
other,1140.0,3.0,4
BTM 2nd Stage,2200.0,3.0,3
Electronic City,1500.0,2.0,3
Gottigere,1230.0,2.0,3
Haralur Road,1520.0,2.0,3
Kanakpura Road,525.0,1.0,1
Hosa Road,1040.0,2.0,2
Old Airport Road,2690.0,4.0,4
Domlur,780.0,1.0,1
Panathur,1140.0,2.0,2
Nagavarapalya,646.0,1.0,1
Cox Town,1600.0,3.0,3
Kadugodi,1890.0,4.0,3
Kadugodi,1050.0,2.0,2
Naganathapura,1200.0,6.0,5
Green Glen Layout,1970.0,3.0,3
Balagere,1007.0,2.0,2
Doddathoguru,1105.0,2.0,2
Lakshminarayana Pura,1700.0,3.0,3
Raja Rajeshwari Nagar,1170.0,2.0,2
Chandapura,1080.0,2.0,2
Ramamurthy Nagar,1200.0,2.0,2
other,600.0,4.0,4
KR Puram,1040.0,2.0,2
Hosur Road,1085.0,2.0,2
NRI Layout,2150.0,4.0,4
Hoodi,1100.0,4.0,4
Panathur,1210.0,2.0,2
other,600.0,3.0,3
Iblur Village,1920.0,3.0,3
Mysore Road,947.55,2.0,2
Malleshpalya,1421.0,2.0,2
Whitefield,905.0,1.0,1
CV Raman Nagar,1100.0,4.0,4
Hormavu,3500.0,4.0,4
Poorna Pragna Layout,2400.0,6.0,7
Ramagondanahalli,4200.0,4.0,4
Kumaraswami Layout,2600.0,4.0,4
Anjanapura,950.0,2.0,2
Banashankari Stage III,1304.0,2.0,2
7th Phase JP Nagar,2100.0,3.0,3
Budigere,1636.0,3.0,3
Green Glen Layout,1728.0,3.0,3
7th Phase JP Nagar,1680.0,3.0,3
other,1235.0,2.0,2
Yelachenahalli,900.0,2.0,4
Yelahanka,3990.0,4.0,4
Kasavanhalli,1495.0,2.0,2
Hennur Road,1500.0,5.0,5
Kanakpura Road,381.0,1.0,1
other,3301.8,5.0,4
Hennur Road,2002.0,3.0,3
other,3200.0,3.0,3
Banjara Layout,1200.0,2.0,2
Sarjapur  Road,1500.0,3.0,4
Bommasandra,1942.0,3.0,3
Thyagaraja Nagar,660.0,1.0,1
other,1450.0,3.0,3
Old Madras Road,1210.0,2.0,2
Yelahanka,1620.0,3.0,3
Choodasandra,3204.0,4.0,3
Hebbal Kempapura,3408.0,3.0,3
Marathahalli,1314.0,2.0,2
Bisuvanahalli,945.0,2.0,2
Nehru Nagar,1374.0,3.0,3
Kanakpura Road,1603.0,3.0,3
Kengeri,1230.0,2.0,3
Basavangudi,670.0,1.0,1
KR Puram,1500.0,7.0,8
Electronic City,770.0,1.0,2
Varthur,1085.0,2.0,2
Dodsworth Layout,1893.0,3.0,3
other,600.0,3.0,4
Electronics City Phase 1,1550.0,2.0,3
Badavala Nagar,1494.0,2.0,3
Electronic City Phase II,1286.0,2.0,2
other,600.0,4.0,3
other,425.0,1.0,1
Haralur Road,1243.0,2.0,2
Brookefield,1200.0,2.0,2
Sarjapur,1044.0,2.0,2
7th Phase JP Nagar,1040.0,2.0,2
8th Phase JP Nagar,1125.0,2.0,2
Cunningham Road,3489.0,3.0,3
Vijayanagar,2400.0,6.0,5
KR Puram,4166.0,5.0,5
Lakshminarayana Pura,1210.0,2.0,2
8th Phase JP Nagar,1200.0,3.0,4
Raja Rajeshwari Nagar,1185.0,2.0,2
Kalena Agrahara,1450.0,3.0,3
Old Madras Road,1859.0,3.0,3
Rajaji Nagar,1763.0,3.0,2
other,1200.0,2.0,3
Thanisandra,784.0,1.0,1
Kudlu,1027.0,2.0,2
Uttarahalli,1002.0,2.0,2
Uttarahalli,1002.0,2.0,2
Narayanapura,1308.0,2.0,2
Hennur Road,1232.0,2.0,2
Haralur Road,1027.0,2.0,2
Kalyan nagar,1250.0,2.0,2
other,900.0,6.0,6
KR Puram,960.0,4.0,4
Raja Rajeshwari Nagar,1255.0,2.0,2
Akshaya Nagar,1434.0,3.0,3
Doddathoguru,925.0,2.0,2
Jakkur,1858.0,3.0,3
other,1500.0,3.0,3
other,1200.0,3.0,3
Mysore Road,1020.0,2.0,2
Thanisandra,965.0,2.0,2
7th Phase JP Nagar,1800.0,6.0,5
Battarahalli,1636.0,2.0,2
Kundalahalli,1724.0,3.0,3
Yelahanka,654.0,1.0,1
other,1200.0,5.0,7
Budigere,1636.0,3.0,3
Hennur Road,1195.0,2.0,2
Nagavara,2400.0,3.0,3
Whitefield,1452.0,3.0,3
Thanisandra,1546.0,3.0,3
Indira Nagar,1440.0,3.0,3
Naganathapura,2260.0,3.0,2
Indira Nagar,1475.0,2.0,2
other,375.0,1.0,1
Balagere,1007.0,2.0,2
Hennur Road,1020.0,2.0,2
other,1000.0,2.0,2
Marathahalli,1125.0,2.0,2
Kudlu Gate,1150.0,9.0,9
Whitefield,2850.0,5.0,4
Dodsworth Layout,1400.0,2.0,2
Kadugodi,1152.0,2.0,2
Subramanyapura,958.0,2.0,2
Bellandur,1310.0,2.0,2
Hosur Road,1590.0,2.0,3
Green Glen Layout,1645.0,3.0,3
Thanisandra,1795.0,3.0,3
8th Phase JP Nagar,1100.0,2.0,2
Thanisandra,777.0,1.0,1
Kalkere,925.0,2.0,2
Bommanahalli,1020.0,2.0,2
Electronic City Phase II,1140.0,2.0,2
Anekal,967.0,2.0,3
Hebbal,2470.0,4.0,4
Thanisandra,1697.0,3.0,3
Varthur,1250.0,2.0,2
Gottigere,1120.0,2.0,2
NRI Layout,1200.0,4.0,4
other,2400.0,3.0,4
Hebbal,1200.0,2.0,2
7th Phase JP Nagar,1100.0,2.0,2
Devarachikkanahalli,1417.0,2.0,3
Thanisandra,1492.0,3.0,3
Devanahalli,1498.0,3.0,3
other,3500.0,2.0,4
Kundalahalli,1010.0,2.0,2
Hennur,1255.0,2.0,2
Channasandra,1050.0,2.0,2
Hegde Nagar,1847.0,3.0,3
Bellandur,982.0,2.0,2
Hegde Nagar,2144.6,4.0,3
Kengeri,750.0,2.0,2
Tindlu,1180.0,2.0,2
other,2100.0,4.0,3
Haralur Road,1194.0,2.0,2
Thanisandra,2072.0,3.0,3
Rajaji Nagar,1640.0,3.0,3
Kaikondrahalli,1253.0,2.0,2
Hennur Road,1061.0,2.0,2
Marathahalli,1950.0,3.0,3
Marathahalli,1250.0,2.0,2
Kammasandra,1015.0,2.0,2
Marathahalli,1125.0,2.0,2
Electronic City Phase II,1116.0,2.0,2
other,400.0,1.0,1
Kasavanhalli,4000.0,4.0,4
Hebbal,3900.0,4.0,4
Old Madras Road,1300.0,2.0,2
Raja Rajeshwari Nagar,1419.0,2.0,2
Thigalarapalya,2072.0,4.0,3
Kaggadasapura,1240.0,2.0,2
Chamrajpet,1565.0,3.0,3
Hosa Road,1245.0,2.0,2
GM Palaya,1315.0,3.0,3
Kenchenahalli,1410.0,2.0,3
Dasarahalli,1375.0,2.0,2
Old Madras Road,1299.0,2.0,2
Bommasandra Industrial Area,1200.0,3.0,2
other,985.0,2.0,2
Hebbal,1255.0,2.0,3
Hoodi,1655.0,3.0,3
Whitefield,2830.0,5.0,4
other,825.0,2.0,1
Begur Road,1634.0,3.0,3
Kogilu,1200.0,6.0,8
Banaswadi,1222.0,2.0,2
Gottigere,1500.0,3.0,3
Akshaya Nagar,1890.0,4.0,3
Hulimavu,850.0,1.0,2
Whitefield,1295.0,2.0,2
Sarjapur  Road,1320.0,2.0,2
ISRO Layout,950.0,3.0,4
Hebbal,1200.0,4.0,4
2nd Stage Nagarbhavi,3000.0,3.0,4
Harlur,1197.0,2.0,2
Billekahalli,1180.0,5.0,5
Whitefield,840.0,1.0,1
Whitefield,640.0,1.0,1
Raja Rajeshwari Nagar,1693.0,3.0,3
Kodihalli,1000.0,2.0,2
Babusapalaya,1305.0,2.0,2
Kodichikkanahalli,450.0,1.0,1
CV Raman Nagar,705.0,1.0,1
Tumkur Road,4800.0,5.0,5
other,5000.0,5.0,4
Gubbalala,5000.0,4.0,4
Whitefield,1991.0,3.0,3
Battarahalli,1779.0,3.0,3
Banaswadi,870.0,2.0,2
Thanisandra,1595.0,3.0,3
Kanakpura Road,525.0,1.0,1
Ramamurthy Nagar,945.0,5.0,4
other,2400.0,4.0,6
Iblur Village,2000.0,4.0,3
Yelahanka,1614.0,3.0,3
Gottigere,1200.0,2.0,2
Electronic City Phase II,1150.0,3.0,3
Indira Nagar,3200.0,4.0,4
Sonnenahalli,1610.0,3.0,3
other,4800.0,5.0,4
7th Phase JP Nagar,1460.0,2.0,3
other,3400.0,3.0,3
Naganathapura,600.0,1.0,1
other,2600.0,3.0,3
Electronics City Phase 1,645.0,1.0,1
other,1200.0,3.0,4
Nagarbhavi,800.0,3.0,3
Mico Layout,800.0,2.0,2
Marathahalli,1350.0,2.0,2
BTM 2nd Stage,2780.0,4.0,3
